Candidate Name,DE,DL,JobJD,ML,Personality,Python,R,Stats,Total score,Rank_pct
candidate (19),0.0,4.0,9.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0
candidate (2),4.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,14.0,0.967741935483871
candidate (25),4.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,13.0,0.9354838709677419
candidate (11),2.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,10.0,0.8870967741935484
candidate (16),2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,10.0,0.8870967741935484
candidate (1),1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,0.8225806451612904
candidate (15),4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.8225806451612904
candidate (12),1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,8.0,0.7580645161290323
candidate (14),1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.7580645161290323
candidate (22),1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,7.0,0.6451612903225806
candidate (9),0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,7.0,0.6451612903225806
candidate (18),1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6451612903225806
candidate (17),1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,0.6451612903225806
candidate (13),2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6451612903225806
candidate (29),0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,6.0,0.5
candidate (6),1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.5
candidate (31),0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.5
candidate (24),0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,6.0,0.5
candidate (10),0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.3548387096774194
candidate (4),1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3548387096774194
candidate (5),1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3548387096774194
candidate (21),1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3548387096774194
candidate (3),1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.3548387096774194
candidate (8),1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.25806451612903225
candidate (26),0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.20967741935483872
candidate (32),0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.20967741935483872
candidate (27),0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0967741935483871
candidate (28),0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0967741935483871
candidate (20),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0967741935483871
candidate (30),0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0967741935483871
candidate (7),0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0967741935483871
